pair_id,pair_type,distance,hash_method,hash_bits,library_left,uuid_left,path_left,filename_left,library_right,uuid_right,path_right,filename_right
1,photos_dupe,0,phash,256,photos,BBD6C26D-3C34-47B6-AA54-F32D9DBDC3EB,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/B/BBD6C26D-3C34-47B6-AA54-F32D9DBDC3EB.jpeg,DSC_0354.JPG,photos,CB0760EC-9F83-464B-96B5-6049A767AB87,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/C/CB0760EC-9F83-464B-96B5-6049A767AB87.jpeg,DSC_0354.JPG
2,photos_dupe,0,phash,256,photos,64709358-5D52-423E-8663-811900A59B51,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/64709358-5D52-423E-8663-811900A59B51.jpeg,DSC_0237.JPG,photos,6A927B21-910E-4460-BED4-C30C599F55EB,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/6A927B21-910E-4460-BED4-C30C599F55EB.jpeg,DSC_0237.JPG
3,photos_dupe,0,phash,256,photos,35A9FF3F-21CD-45C4-A0FC-C1665E292EFA,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/3/35A9FF3F-21CD-45C4-A0FC-C1665E292EFA.jpeg,DSC_0224.JPG,photos,42F34B8B-599C-4C9D-9864-A87E7E27B4E5,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/4/42F34B8B-599C-4C9D-9864-A87E7E27B4E5.jpeg,DSC_0224.JPG
4,photos_dupe,0,phash,256,photos,017E51D5-3483-4D2C-8D85-6F27B7E9054A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/0/017E51D5-3483-4D2C-8D85-6F27B7E9054A.jpeg,DSC_0174.JPG,photos,F71EA364-0022-4B94-9BD2-FDDB8DFA5C9A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/F/F71EA364-0022-4B94-9BD2-FDDB8DFA5C9A.jpeg,DSC_0174.JPG
5,photos_dupe,2,phash,256,photos,98212B0E-B214-46FF-BE72-0B24EDD1A956,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/9/98212B0E-B214-46FF-BE72-0B24EDD1A956.jpeg,NBOV.jpg,photos,A7FABE89-B609-4DDC-AC9E-ED51A4CB4E49,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/A/A7FABE89-B609-4DDC-AC9E-ED51A4CB4E49.jpeg,CKJV.jpg
6,photos_dupe,2,phash,256,photos,EFAF85B2-1F22-407C-823B-C66BF12E88E9,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/E/EFAF85B2-1F22-407C-823B-C66BF12E88E9.jpeg,YPPC.jpg,photos,56BDF1AF-7D64-4EA6-99FF-BC72D9E148DA,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/56BDF1AF-7D64-4EA6-99FF-BC72D9E148DA.jpeg,HUSL.jpg
7,photos_dupe,2,phash,256,photos,BD1FFD37-F9E6-4B2D-B635-8899F35AE6D3,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/B/BD1FFD37-F9E6-4B2D-B635-8899F35AE6D3.jpeg,CKPM.jpg,photos,64815710-DE29-4736-8F2A-99075F51913A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/64815710-DE29-4736-8F2A-99075F51913A.jpeg,KMXR.jpg
8,photos_dupe,2,phash,256,photos,7C617549-C969-412F-B351-5924C5CDDDED,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/7/7C617549-C969-412F-B351-5924C5CDDDED.jpeg,PWUB.jpg,photos,5002A4D1-D380-421E-BDFE-CF6D61B17478,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/5002A4D1-D380-421E-BDFE-CF6D61B17478.jpeg,IZSL.jpg
9,photos_dupe,4,phash,256,photos,59B1E11F-A014-43E8-A441-B7446FEB5036,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/59B1E11F-A014-43E8-A441-B7446FEB5036.jpeg,WRHE.jpg,photos,0210D3C2-F80D-4FC7-AE4E-1616D3240DAC,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/0/0210D3C2-F80D-4FC7-AE4E-1616D3240DAC.jpeg,ZFYI.jpg
10,photos_dupe,4,phash,256,photos,139E67A1-A918-4984-9843-33E8423B2823,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/1/139E67A1-A918-4984-9843-33E8423B2823.jpeg,BIGO.jpg,photos,AF85D795-3EF8-486B-89B5-9782A625923A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/A/AF85D795-3EF8-486B-89B5-9782A625923A.jpeg,UDHW.jpg
11,photos_dupe,4,phash,256,photos,C7DD037D-DBE5-48FB-9D3E-D56F83A79622,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/C/C7DD037D-DBE5-48FB-9D3E-D56F83A79622.jpeg,20180707_013601.jpg,photos,2ACC59CB-8FE8-4335-8879-791BCD7F5E89,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/2/2ACC59CB-8FE8-4335-8879-791BCD7F5E89.jpeg,20180707_013603.jpg
12,photos_dupe,4,phash,256,photos,AB042B7E-0722-4991-9842-78759136E4C5,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/A/AB042B7E-0722-4991-9842-78759136E4C5.jpeg,PFOA.jpg,photos,59B1E11F-A014-43E8-A441-B7446FEB5036,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/59B1E11F-A014-43E8-A441-B7446FEB5036.jpeg,WRHE.jpg
13,photos_dupe,4,phash,256,photos,AB042B7E-0722-4991-9842-78759136E4C5,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/A/AB042B7E-0722-4991-9842-78759136E4C5.jpeg,PFOA.jpg,photos,0210D3C2-F80D-4FC7-AE4E-1616D3240DAC,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/0/0210D3C2-F80D-4FC7-AE4E-1616D3240DAC.jpeg,ZFYI.jpg
14,photos_dupe,4,phash,256,photos,6D1BD35F-4F35-4692-BA16-2F72285C0480,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/6D1BD35F-4F35-4692-BA16-2F72285C0480.jpeg,DSCN0918.JPG,photos,D29DAD44-0604-43A1-833E-1742FAE08C88,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/D/D29DAD44-0604-43A1-833E-1742FAE08C88.jpeg,DSCN0919.JPG
