pair_id,pair_type,decision,distance,delete_uuid,delete_library,delete_uuid_other,delete_library_other,keep_uuid,keep_library,uuid_left,uuid_right,path_left,path_right
1,photos_dupe,keep_both,0,,,,,,,BBD6C26D-3C34-47B6-AA54-F32D9DBDC3EB,CB0760EC-9F83-464B-96B5-6049A767AB87,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/B/BBD6C26D-3C34-47B6-AA54-F32D9DBDC3EB.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/C/CB0760EC-9F83-464B-96B5-6049A767AB87.jpeg
2,photos_dupe,keep_both,0,,,,,,,64709358-5D52-423E-8663-811900A59B51,6A927B21-910E-4460-BED4-C30C599F55EB,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/64709358-5D52-423E-8663-811900A59B51.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/6A927B21-910E-4460-BED4-C30C599F55EB.jpeg
3,photos_dupe,keep_both,0,,,,,,,35A9FF3F-21CD-45C4-A0FC-C1665E292EFA,42F34B8B-599C-4C9D-9864-A87E7E27B4E5,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/3/35A9FF3F-21CD-45C4-A0FC-C1665E292EFA.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/4/42F34B8B-599C-4C9D-9864-A87E7E27B4E5.jpeg
4,photos_dupe,keep_both,0,,,,,,,017E51D5-3483-4D2C-8D85-6F27B7E9054A,F71EA364-0022-4B94-9BD2-FDDB8DFA5C9A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/0/017E51D5-3483-4D2C-8D85-6F27B7E9054A.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/F/F71EA364-0022-4B94-9BD2-FDDB8DFA5C9A.jpeg
5,photos_dupe,keep_both,2,,,,,,,98212B0E-B214-46FF-BE72-0B24EDD1A956,A7FABE89-B609-4DDC-AC9E-ED51A4CB4E49,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/9/98212B0E-B214-46FF-BE72-0B24EDD1A956.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/A/A7FABE89-B609-4DDC-AC9E-ED51A4CB4E49.jpeg
6,photos_dupe,keep_both,2,,,,,,,EFAF85B2-1F22-407C-823B-C66BF12E88E9,56BDF1AF-7D64-4EA6-99FF-BC72D9E148DA,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/E/EFAF85B2-1F22-407C-823B-C66BF12E88E9.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/56BDF1AF-7D64-4EA6-99FF-BC72D9E148DA.jpeg
7,photos_dupe,keep_both,2,,,,,,,BD1FFD37-F9E6-4B2D-B635-8899F35AE6D3,64815710-DE29-4736-8F2A-99075F51913A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/B/BD1FFD37-F9E6-4B2D-B635-8899F35AE6D3.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/6/64815710-DE29-4736-8F2A-99075F51913A.jpeg
8,photos_dupe,keep_both,2,,,,,,,7C617549-C969-412F-B351-5924C5CDDDED,5002A4D1-D380-421E-BDFE-CF6D61B17478,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/7/7C617549-C969-412F-B351-5924C5CDDDED.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/5002A4D1-D380-421E-BDFE-CF6D61B17478.jpeg
9,photos_dupe,keep_both,4,,,,,,,59B1E11F-A014-43E8-A441-B7446FEB5036,0210D3C2-F80D-4FC7-AE4E-1616D3240DAC,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/5/59B1E11F-A014-43E8-A441-B7446FEB5036.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/0/0210D3C2-F80D-4FC7-AE4E-1616D3240DAC.jpeg
10,photos_dupe,keep_both,4,,,,,,,139E67A1-A918-4984-9843-33E8423B2823,AF85D795-3EF8-486B-89B5-9782A625923A,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/1/139E67A1-A918-4984-9843-33E8423B2823.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/A/AF85D795-3EF8-486B-89B5-9782A625923A.jpeg
11,photos_dupe,keep_right,4,C7DD037D-DBE5-48FB-9D3E-D56F83A79622,photos,,,2ACC59CB-8FE8-4335-8879-791BCD7F5E89,photos,C7DD037D-DBE5-48FB-9D3E-D56F83A79622,2ACC59CB-8FE8-4335-8879-791BCD7F5E89,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/C/C7DD037D-DBE5-48FB-9D3E-D56F83A79622.jpeg,/Volumes/Storage/photos_lib_workin_dir.photoslibrary/originals/2/2ACC59CB-8FE8-4335-8879-791BCD7F5E89.jpeg
